typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20240101","2024","52","2024","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","9900","Other","8","kg","12862.3","false","8","kg","12862.3","false","12862.3","false","0","false",,"212997.34","212997.34","0","false","true",
"C","A","20240101","2024","52","2024","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","9900","Other","8","kg","1281702.92","false","8","kg","1281702.92","false","1281702.92","false","1490.937","false",,"4851433.658","4851433.658","0","false","true",
"C","A","20240101","2024","52","2024","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","9900","Other","8","kg","51.604","true","-1","N/A","0","false","51.604","true","0","false",,"1114","1114","6","false","true",
"C","A","20240101","2024","52","2024","8","ALB","Albania","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23825.86","false","8","kg","23825.86","false","23825.86","false","0","false",,"201437.432","201437.432","0","false","true",
"C","A","20240101","2024","52","2024","12","DZA","Algeria","X","Export","0","W00","World","0","W00","World","H4","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","664.205","true","-1","N/A","0","false","664.205","true","0","false",,"13596.074","13596.074","6","false","true",
"C","A","20240101","2024","52","2024","24","AGO","Angola","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","27920.89","false",,"false","0","false",,"1060.02","1060.02","0","false","true",
"C","A","20240101","2024","52","2024","28","ATG","Antigua and Barbuda","X","Export","0","W00","World","0","W00","World","H3","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1.875","false","5","u","14","false","1.875","false","0","false",,"53.274","53.274","0","false","true",
"C","A","20240101","2024","52","2024","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1220","false","8","kg","1220","false","1220","false","0","false",,"15245.65","15245.65","0","false","true",
"C","A","20240101","2024","52","2024","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","54747.28","false","8","kg","54747.28","false","54747.28","false","72.782","false",,"630458.924","630458.924","0","false","true",
"C","A","20240101","2024","52","2024","40","AUT","Austria","X","Export","0","W00","World","0","W00","World","H6","HS","true","090210","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","120978.799","true","-1","N/A","0","false","120978.799","true","0","false",,"2457209.296","2457209.296","6","false","true",
