Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","643","Russian Federation","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","518.9","E","Estimated value",""
"QCL","Crops and livestock products","643","Russian Federation","5510","Production","01620","Tea leaves","2024","2024","t","131.86","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","01620","Tea leaves","2024","2024","ha","35050","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","4581.8","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","01620","Tea leaves","2024","2024","t","160591.77","A","Official figure",""
"QCL","Crops and livestock products","690","Seychelles","5312","Area harvested","01620","Tea leaves","2024","2024","ha","0","E","Estimated value",""
"QCL","Crops and livestock products","690","Seychelles","5510","Production","01620","Tea leaves","2024","2024","t","0","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","01620","Tea leaves","2024","2024","ha","640","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","7500","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","01620","Tea leaves","2024","2024","t","4800","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01620","Tea leaves","2024","2024","ha","907","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","1979.3","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01620","Tea leaves","2024","2024","t","1796.05","E","Estimated value",""
"QCL","Crops and livestock products","144","Sri Lanka","5312","Area harvested","01620","Tea leaves","2024","2024","ha","268829","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","5631.9","E","Estimated value",""
"QCL","Crops and livestock products","144","Sri Lanka","5510","Production","01620","Tea leaves","2024","2024","t","1514023.77","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","01620","Tea leaves","2024","2024","ha","21394","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","4984.7","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","01620","Tea leaves","2024","2024","t","106643","A","Official figure",""
"QCL","Crops and livestock products","792","Türkiye","5312","Area harvested","01620","Tea leaves","2024","2024","ha","81010","A","Official figure",""
"QCL","Crops and livestock products","792","Türkiye","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","17454.6","A","Official figure",""
"QCL","Crops and livestock products","792","Türkiye","5510","Production","01620","Tea leaves","2024","2024","t","1414000","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5312","Area harvested","01620","Tea leaves","2024","2024","ha","44765","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","9269.4","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01620","Tea leaves","2024","2024","t","414945.47","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5312","Area harvested","01620","Tea leaves","2024","2024","ha","17185","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","7494","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5510","Production","01620","Tea leaves","2024","2024","t","128783.01","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","01620","Tea leaves","2024","2024","ha","113037","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","10213.6","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","01620","Tea leaves","2024","2024","t","1154510","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5312","Area harvested","01620","Tea leaves","2024","2024","ha","687","E","Estimated value",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","1415.1","E","Estimated value",""
"QCL","Crops and livestock products","894","Zambia","5510","Production","01620","Tea leaves","2024","2024","t","971.46","E","Estimated value",""
"QCL","Crops and livestock products","716","Zimbabwe","5312","Area harvested","01620","Tea leaves","2024","2024","ha","4868","A","Official figure",""
"QCL","Crops and livestock products","716","Zimbabwe","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","11149.1","E","Estimated value",""
"QCL","Crops and livestock products","716","Zimbabwe","5510","Production","01620","Tea leaves","2024","2024","t","54273.67","I","Value imputed by a receiving agency",""
